Week Start Date,Agency,Final Incident Type,# of Incidents Calculated,Call to First Pickup,Call to PD Calltaker Handoff,Call to FDNY Pickup,Call to FDNY Job Creation,Call to EMS Pickup,Call to Agency Job Creation,Call to Agency Dispatch,Call to Agency Arrival,Call to First Arrival (Multi-Agency Incidents),Median Pickup,Median Calltaker Handoff,Median FDNY Pickup,Median FDNY Job Creation,Median Ems Pickup,Median Ems Job Creation,Median Dispatch,Median Travel,Median Cumulative First Arrival  (Multi-Agency Incidents),Average Travel,Average Dispatch,Average EMS Processing,Average EMS Pickup,Average Calltaker Processing,Average Pickup,Average FD Pickup,Average FD Processing
02/15/2016,FDNY,3. Medical Emergencies,3057,3.57,174.01,,,68.99,170.31,204.89,478.27,408.28,3,108,,,5,48,7,257,383,4.56,0.51,1.72,0.08,2.84,0.06,,
02/15/2016,FDNY,4. Non-Medical Emergencies,4654,3.59,142.95,,,,,188.10,527.81,501.09,3,79,,,,,13,290,407,5.66,0.75,,,2.32,0.06,,
02/15/2016,FDNY,1. Structural Fires,344,3.43,73.76,,,,,87.83,290.01,284.18,3,63,,,,,10,197,279.5,3.37,0.23,,,1.17,0.06,,
02/15/2016,NYPD,1. Critical,893,3.35,109.73,,,,,200.76,404.38,372.13,3,82,,,,,68,133,320,3.39,1.52,,,1.77,0.06,,
02/15/2016,NYPD,2. Serious,1842,3.48,117.19,,,,,239.45,502.10,491.69,3,88,,,,,82,184,400.5,4.38,2.04,,,1.90,0.06,,
02/15/2016,NYPD,3. Non-Critical,792,3.31,157.45,,,,,384.42,888.38,872.53,3,132,,,,,115,334.5,638.5,8.40,3.78,,,2.57,0.06,,
02/15/2016,NYPD (Non-CIP),Other Crimes (In Progress),1975,3.48,149.70,,,,,362.23,871.72,865.50,3,126,,,,,106,306,618,8.49,3.54,,,2.44,0.06,,
02/15/2016,NYPD (Non-CIP),Vehicle Accident,3159,2.98,157.28,,,,,801.34,2883.39,2859.74,3,133,,,,,265,1351,2077,34.70,10.73,,,2.57,0.05,,
02/15/2016,NYPD (Non-CIP),Dispute,5293,3.35,165.17,,,,,720.31,1935.83,1926.42,3,138,,,,,194,607,1201,20.26,9.25,,,2.70,0.06,,
02/15/2016,NYPD (Non-CIP),Disorderly Person/Group/Noise,1164,3.36,156.60,,,,,629.95,1493.54,1488.77,3,133,,,,,183.5,436,924.5,14.39,7.89,,,2.55,0.06,,
02/15/2016,NYPD (Non-CIP),Possible Crimes,5860,3.52,152.78,,,,,709.55,2052.42,1966.55,3,121,,,,,206.5,655.5,1157,22.38,9.28,,,2.49,0.06,,
02/15/2016,NYPD (Non-CIP),Past Crime,2743,3.31,195.62,,,,,851.92,2777.64,2750.97,3,164,,,,,234,1043,1794,32.10,10.94,,,3.21,0.06,,
02/15/2016,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,537,3.79,112.41,,,,,217.08,1547.51,574.72,3,83,,,,,54,840,372,22.17,1.74,,,1.81,0.06,,
02/15/2016,NYPD (Non-CIP),Police Officer/Security Holding Suspect,215,3.61,97.62,,,,,317.62,1408.54,1389.87,3,74,,,,,104,513,866,18.18,3.67,,,1.57,0.06,,
02/15/2016,NYPD (Non-CIP),Alarms,2849,3.51,121.40,,,,,670.04,2074.39,2074.39,3,103,,,,,221,768,1354,23.41,9.14,,,1.96,0.06,,
02/22/2016,EMS,1. Life Threating Med Emergencies,9870,3.55,61.55,,,66.27,123.29,163.00,544.98,481.82,3,62,,,10.5,41,85,331,415.5,6.37,1.53,0.84,0.10,0.97,0.06,,
02/22/2016,EMS,2. Non-Life Threatening Med Emergencies,12892,3.58,74.94,,,80.95,123.42,212.21,756.54,668.25,3,75.5,,,10,46,95.5,450.75,546,9.07,2.12,0.64,0.13,1.19,0.06,,
02/22/2016,FDNY,3. Medical Emergencies,3202,3.61,179.95,,,69.58,176.15,203.92,475.01,412.97,3,111,,,5,50,7,257.5,384,4.52,0.40,1.81,0.09,2.94,0.06,,
02/22/2016,FDNY,1. Structural Fires,320,3.59,83.57,,,,,94.78,300.43,293.62,3,65,,,,,9,197,279,3.43,0.19,,,1.33,0.06,,
02/22/2016,FDNY,4. Non-Medical Emergencies,3221,3.90,181.10,,,,,198.28,497.88,458.82,3,82,,,,,12,266,378,4.99,0.29,,,2.95,0.06,,
02/22/2016,FDNY,2. Non-Structural Fires,158,3.91,85.14,,,,,97.94,359.99,353.02,3,58,,,,,10,241,322.5,4.37,0.21,,,1.35,0.07,,
02/22/2016,NYPD,1. Critical,907,3.42,119.03,,,,,218.35,399.66,386.80,3,89,,,,,69,139,333,3.02,1.66,,,1.93,0.06,,
02/22/2016,NYPD,3. Non-Critical,712,3.51,155.96,,,,,387.22,942.96,931.39,3,129,,,,,110,357.5,679.5,9.26,3.85,,,2.54,0.06,,
02/22/2016,NYPD,2. Serious,1817,3.45,121.15,,,,,247.92,529.36,512.63,3,93,,,,,79,187,405,4.69,2.11,,,1.96,0.06,,
02/22/2016,NYPD (Non-CIP),Vehicle Accident,3440,3.19,165.82,,,,,839.67,2944.86,2869.86,3,140,,,,,298,1383.5,2077,35.09,11.23,,,2.71,0.05,,
02/22/2016,NYPD (Non-CIP),Possible Crimes,6013,3.56,160.51,,,,,721.77,2177.51,2094.00,3,129,,,,,206,709,1223,24.26,9.35,,,2.62,0.06,,
02/22/2016,NYPD (Non-CIP),Dispute,4912,3.53,174.17,,,,,750.99,2053.19,2042.38,3,144,,,,,192,647.5,1272.5,21.70,9.61,,,2.84,0.06,,
02/22/2016,NYPD (Non-CIP),Alarms,2479,3.76,126.78,,,,,660.34,2099.32,2099.12,3,106,,,,,237,787,1372,23.98,8.89,,,2.05,0.06,,
02/22/2016,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,431,3.49,117.99,,,,,238.92,1719.42,701.22,3,86,,,,,64,950,366,24.67,2.02,,,1.91,0.06,,
02/22/2016,NYPD (Non-CIP),Disorderly Person/Group/Noise,1151,3.44,162.70,,,,,615.46,1680.37,1673.64,3,142,,,,,175,501,1000,17.75,7.55,,,2.65,0.06,,
02/22/2016,NYPD (Non-CIP),Other Crimes (In Progress),2170,3.46,153.51,,,,,366.63,868.19,866.50,3,125,,,,,105,301,617.5,8.36,3.55,,,2.50,0.06,,
02/22/2016,NYPD (Non-CIP),Past Crime,2870,3.36,207.13,,,,,900.70,2970.79,2927.50,3,176,,,,,247,1106.5,1917,34.50,11.56,,,3.40,0.06,,
02/22/2016,NYPD (Non-CIP),Police Officer/Security Holding Suspect,224,3.58,99.02,,,,,408.98,1365.99,1365.99,3,78,,,,,104.5,628.5,1064.5,15.95,5.17,,,1.59,0.06,,
02/29/2016,EMS,2. Non-Life Threatening Med Emergencies,11159,3.53,74.55,,,80.65,124.18,212.71,764.08,667.35,3,79.5,,,11,46,97,456,550.5,9.19,2.17,0.66,0.13,1.19,0.06,,
02/29/2016,EMS,1. Life Threating Med Emergencies,8389,3.59,61.88,,,66.69,123.29,163.13,542.06,476.79,3,65.5,,,11.5,40.5,86,332.25,408,6.32,1.54,0.85,0.10,0.97,0.06,,
02/29/2016,FDNY,3. Medical Emergencies,3313,3.55,191.22,,,70.31,187.16,215.16,487.81,413.92,3,111,,,5,49,7,253,381,4.54,0.40,1.99,0.09,3.13,0.06,,
02/29/2016,FDNY,4. Non-Medical Emergencies,2604,3.58,176.77,,,,,192.77,481.72,431.67,3,77,,,,,11,262,368.5,4.82,0.27,,,2.89,0.06,,
02/29/2016,FDNY,2. Non-Structural Fires,234,3.39,80.58,,,,,92.58,346.29,340.46,3,55.5,,,,,9.5,228,300,4.23,0.20,,,1.29,0.06,,
02/29/2016,FDNY,1. Structural Fires,287,3.30,72.64,,,,,85.65,280.14,277.44,3,59,,,,,10,189,266,3.24,0.22,,,1.16,0.05,,
02/29/2016,NYPD,1. Critical,887,3.56,120.80,,,,,225.51,430.20,411.89,3,90,,,,,68,146,343,3.41,1.75,,,1.95,0.06,,
02/29/2016,NYPD,2. Serious,1807,3.52,118.82,,,,,243.46,522.02,501.28,3,93,,,,,77,183,391,4.64,2.08,,,1.92,0.06,,
02/29/2016,NYPD,3. Non-Critical,801,3.57,159.44,,,,,389.12,925.46,900.91,3,130,,,,,111,325,636,8.94,3.83,,,2.60,0.06,,
02/29/2016,NYPD (Non-CIP),Possible Crimes,5539,3.49,160.22,,,,,731.27,2252.30,2179.32,3,128,,,,,206,716,1251,25.35,9.52,,,2.61,0.06,,
02/29/2016,NYPD (Non-CIP),Alarms,2251,3.50,122.44,,,,,666.05,2162.74,2162.74,3,104,,,,,243,821,1406,24.94,9.06,,,1.98,0.06,,
02/29/2016,NYPD (Non-CIP),Past Crime,2990,3.24,204.05,,,,,864.54,3036.07,2996.42,3,173,,,,,236,1205,1977,36.19,11.01,,,3.35,0.05,,
02/29/2016,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,405,3.65,110.91,,,,,248.84,1648.97,653.89,3,84,,,,,63,837,357,23.34,2.30,,,1.79,0.06,,
02/29/2016,NYPD (Non-CIP),Disorderly Person/Group/Noise,1209,3.47,167.13,,,,,648.29,1645.54,1641.71,3,140,,,,,200,486,1010,16.62,8.02,,,2.73,0.06,,
02/29/2016,NYPD (Non-CIP),Dispute,5223,3.45,173.26,,,,,805.68,2202.11,2186.94,3,144,,,,,207,679,1316,23.27,10.54,,,2.83,0.06,,
02/29/2016,NYPD (Non-CIP),Police Officer/Security Holding Suspect,227,3.53,97.73,,,,,391.74,1656.78,1656.78,3,81,,,,,128,679,1155,21.08,4.90,,,1.57,0.06,,
02/29/2016,NYPD (Non-CIP),Other Crimes (In Progress),2185,3.46,147.43,,,,,369.32,832.16,830.48,3,123,,,,,102,293,599,7.71,3.70,,,2.40,0.06,,
02/29/2016,NYPD (Non-CIP),Vehicle Accident,3406,3.02,164.96,,,,,823.31,3016.03,2956.31,3,138,,,,,295,1442,2145,36.55,10.97,,,2.70,0.05,,
03/07/2016,EMS,1. Life Threating Med Emergencies,10551,3.66,59.57,,,64.45,114.02,168.42,563.98,490.79,3,64,,,11,40.5,88.5,339,413.25,6.59,1.61,0.68,0.10,0.93,0.06,,
03/07/2016,EMS,2. Non-Life Threatening Med Emergencies,13599,3.65,70.11,,,76.35,89.22,255.15,852.42,735.79,3,77.5,,,10.5,46,101,485.25,566.5,9.95,2.86,0.15,0.13,1.11,0.06,,
03/07/2016,FDNY,4. Non-Medical Emergencies,2718,3.74,182.05,,,,,199.55,490.23,451.30,3,77,,,,,11,263,369.5,4.84,0.29,,,2.96,0.06,,
03/07/2016,FDNY,1. Structural Fires,272,3.52,73.79,,,,,86.38,283.52,278.47,3,61,,,,,10,196,275.5,3.29,0.21,,,1.15,0.06,,
03/07/2016,FDNY,3. Medical Emergencies,3551,3.67,184.86,,,68.70,180.96,211.16,482.32,418.15,3,108,,,5,47,7,254,380,4.52,0.44,1.91,0.09,3.02,0.06,,
03/07/2016,FDNY,2. Non-Structural Fires,219,3.55,80.86,,,,,94.53,351.10,341.23,3,62,,,,,10,239,317,4.28,0.23,,,1.14,0.06,,
03/07/2016,NYPD,1. Critical,985,3.62,116.21,,,,,214.49,384.88,372.87,3,85,,,,,67,131,321,2.84,1.64,,,1.86,0.06,,
03/07/2016,NYPD,3. Non-Critical,876,3.60,155.09,,,,,420.05,1013.20,1011.39,3,128,,,,,117.5,326,667.5,9.89,4.42,,,2.50,0.06,,
03/07/2016,NYPD,2. Serious,2027,3.52,119.12,,,,,254.70,548.46,528.44,3,90,,,,,79,185,403,4.90,2.26,,,1.90,0.06,,
03/07/2016,NYPD (Non-CIP),Dispute,5348,3.54,165.75,,,,,902.55,2309.07,2299.15,3,139,,,,,234,670,1367.5,23.44,12.28,,,2.66,0.06,,
03/07/2016,NYPD (Non-CIP),Disorderly Person/Group/Noise,1292,3.60,172.35,,,,,775.18,1837.86,1825.64,3,132,,,,,207,505,1091,17.71,10.05,,,2.80,0.06,,
03/07/2016,NYPD (Non-CIP),Other Crimes (In Progress),2540,3.78,145.37,,,,,415.83,915.86,912.49,3,117,,,,,110,288,611.5,8.33,4.51,,,2.33,0.06,,
03/07/2016,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,418,3.88,114.44,,,,,251.86,1771.70,673.40,3,86,,,,,67.5,918,378,25.33,2.29,,,1.82,0.06,,
03/07/2016,NYPD (Non-CIP),Alarms,2218,3.43,123.59,,,,,743.59,2352.10,2352.10,3,104,,,,,260,803,1439,26.81,10.33,,,1.98,0.06,,
03/07/2016,NYPD (Non-CIP),Possible Crimes,6242,3.55,157.90,,,,,830.36,2404.10,2327.29,3,126,,,,,220,721,1299,26.23,11.21,,,2.55,0.06,,
03/07/2016,NYPD (Non-CIP),Police Officer/Security Holding Suspect,217,3.88,94.74,,,,,439.69,1469.10,1464.56,3,73,,,,,125,605,947,17.16,5.75,,,1.50,0.06,,
03/07/2016,NYPD (Non-CIP),Vehicle Accident,3340,3.08,160.75,,,,,954.75,3264.76,3211.19,3,133,,,,,313,1430,2223.5,38.50,13.23,,,2.58,0.05,,
03/07/2016,NYPD (Non-CIP),Past Crime,3000,3.35,196.41,,,,,1022.73,3349.21,3269.62,3,162,,,,,292,1285.5,2124.5,38.77,13.77,,,3.16,0.06,,
03/14/2016,EMS,2. Non-Life Threatening Med Emergencies,12002,3.38,71.05,,,77.47,117.11,242.68,805.34,694.84,3,76.5,,,11.5,46.5,100,467.5,550.5,9.38,2.64,0.56,0.13,1.13,0.06,,
03/14/2016,EMS,1. Life Threating Med Emergencies,8839,3.38,59.30,,,64.24,120.25,164.61,551.28,485.08,3,63,,,11.5,41,88,337,416.5,6.44,1.56,0.79,0.11,0.93,0.06,,
03/14/2016,FDNY,3. Medical Emergencies,2974,3.35,174.88,,,67.97,171.17,202.30,473.35,410.92,3,108,,,5,46,7,253,382,4.52,0.46,1.76,0.08,2.86,0.06,,
03/14/2016,FDNY,4. Non-Medical Emergencies,2347,3.38,216.08,,,,,233.63,526.42,471.46,3,77,,,,,12,263,368,4.88,0.29,,,3.54,0.06,,
03/14/2016,FDNY,2. Non-Structural Fires,164,3.49,78.93,,,,,92.77,353.45,350.87,3,64,,,,,10.5,248,334,4.34,0.23,,,1.26,0.06,,
03/14/2016,FDNY,1. Structural Fires,272,3.18,80.92,,,,,93.45,288.55,277.15,3,60,,,,,10,185,267,3.25,0.21,,,1.30,0.05,,
03/14/2016,NYPD,2. Serious,1748,3.30,115.13,,,,,248.51,521.93,506.02,3,90,,,,,83,189,402,4.56,2.22,,,1.86,0.05,,
03/14/2016,NYPD,3. Non-Critical,735,3.36,157.00,,,,,430.61,1008.19,1002.74,3,134,,,,,122,346,686,9.63,4.56,,,2.56,0.06,,
03/14/2016,NYPD,1. Critical,830,3.43,114.52,,,,,224.29,401.56,386.43,3,85,,,,,70,141,332.5,2.95,1.83,,,1.85,0.06,,
03/14/2016,NYPD (Non-CIP),Dispute,4680,3.39,166.02,,,,,873.73,2358.03,2348.08,3,140,,,,,214,680.5,1359,24.74,11.80,,,2.71,0.06,,
03/14/2016,NYPD (Non-CIP),Police Officer/Security Holding Suspect,188,3.46,106.27,,,,,464.18,1455.46,1441.48,3,85.5,,,,,117,559.5,960,16.52,5.97,,,1.71,0.06,,
03/14/2016,NYPD (Non-CIP),Possible Crimes,5253,3.36,158.91,,,,,828.16,2437.69,2364.74,3,128,,,,,224,728,1301,26.83,11.15,,,2.59,0.06,,
03/14/2016,NYPD (Non-CIP),Past Crime,2740,3.17,200.74,,,,,1073.72,3469.16,3410.73,3,169.5,,,,,294,1271,2167,39.92,14.55,,,3.29,0.05,,
03/14/2016,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,353,3.68,120.98,,,,,245.25,1733.42,714.61,3,84,,,,,69,926,393,24.80,2.07,,,1.96,0.06,,
03/14/2016,NYPD (Non-CIP),Other Crimes (In Progress),2065,3.40,150.15,,,,,410.26,947.86,944.61,3,124,,,,,112,319,641,8.96,4.34,,,2.45,0.06,,
03/14/2016,NYPD (Non-CIP),Disorderly Person/Group/Noise,1037,3.44,157.49,,,,,696.45,1680.13,1670.77,3,136,,,,,190,443,974,16.39,8.98,,,2.57,0.06,,
03/14/2016,NYPD (Non-CIP),Alarms,2004,3.46,122.59,,,,,769.89,2387.29,2387.29,3,103,,,,,271,843,1448,26.96,10.79,,,1.99,0.06,,
03/14/2016,NYPD (Non-CIP),Vehicle Accident,3171,2.95,161.14,,,,,943.10,3456.92,3358.33,3,133,,,,,317,1543,2361,41.90,13.03,,,2.64,0.05,,
03/21/2016,EMS,2. Non-Life Threatening Med Emergencies,12762,3.42,76.63,,,83.06,136.91,206.22,730.42,646.50,3,79,,,11,47.5,98,445,539.5,8.74,1.97,0.78,0.14,1.22,0.06,,
03/21/2016,EMS,1. Life Threating Med Emergencies,9334,3.39,60.15,,,64.98,124.77,163.29,535.28,469.76,3,63.5,,,10,42,86.5,320,400.5,6.20,1.56,0.88,0.10,0.95,0.06,,
03/21/2016,FDNY,4. Non-Medical Emergencies,2539,3.50,192.86,,,,,208.98,499.64,445.54,3,78,,,,,12,260,367,4.84,0.27,,,3.16,0.06,,
03/21/2016,FDNY,1. Structural Fires,292,3.77,104.87,,,,,118.29,314.08,296.14,3,61,,,,,10,193,274,3.26,0.22,,,1.68,0.06,,
03/21/2016,FDNY,3. Medical Emergencies,3253,3.42,179.31,,,68.98,175.42,203.03,471.89,402.75,3,111,,,5,49,7,249,376,4.48,0.40,1.81,0.09,2.93,0.06,,
03/21/2016,FDNY,2. Non-Structural Fires,244,3.32,81.33,,,,,94.30,346.72,339.99,3,67,,,,,9,234,311.5,4.21,0.22,,,1.30,0.06,,
03/21/2016,NYPD,1. Critical,930,3.34,111.72,,,,,207.64,389.18,383.14,3,83.5,,,,,69,136.5,324.5,3.03,1.60,,,1.81,0.06,,
03/21/2016,NYPD,2. Serious,1975,3.34,118.04,,,,,241.96,534.18,511.23,3,92,,,,,80,185,402,4.87,2.07,,,1.91,0.06,,
03/21/2016,NYPD,3. Non-Critical,820,3.67,152.36,,,,,414.43,988.49,985.52,3,128,,,,,114,331.5,660,9.57,4.37,,,2.48,0.06,,
03/21/2016,NYPD (Non-CIP),Disorderly Person/Group/Noise,1212,3.44,159.60,,,,,713.93,1835.52,1826.00,3,140,,,,,199,508.5,1053.5,18.69,9.24,,,2.60,0.06,,
03/21/2016,NYPD (Non-CIP),Dispute,5230,3.47,168.90,,,,,859.31,2324.72,2313.04,3,143,,,,,218.5,661.5,1325.5,24.42,11.51,,,2.76,0.06,,
03/21/2016,NYPD (Non-CIP),Vehicle Accident,3399,3.02,163.82,,,,,981.92,3472.47,3425.25,3,138,,,,,333,1530,2333,41.51,13.63,,,2.68,0.05,,
03/21/2016,NYPD (Non-CIP),Alarms,2131,3.36,127.73,,,,,743.45,2346.72,2346.72,3,107,,,,,265,813,1423,26.72,10.26,,,2.07,0.06,,
03/21/2016,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,469,3.53,120.38,,,,,249.07,1606.52,870.18,3,90,,,,,70,788,404,22.62,2.14,,,1.95,0.06,,
03/21/2016,NYPD (Non-CIP),Other Crimes (In Progress),2395,3.48,150.54,,,,,365.67,885.78,879.99,3,123,,,,,109,295,608,8.67,3.59,,,2.45,0.06,,
03/21/2016,NYPD (Non-CIP),Police Officer/Security Holding Suspect,210,3.75,98.41,,,,,400.90,1541.39,1537.86,3,74,,,,,117.5,634.5,958.5,19.01,5.04,,,1.58,0.06,,
03/21/2016,NYPD (Non-CIP),Possible Crimes,6087,3.40,156.09,,,,,790.11,2321.48,2246.22,3,126,,,,,210,701,1247,25.52,10.57,,,2.54,0.06,,
03/21/2016,NYPD (Non-CIP),Past Crime,2927,3.23,196.16,,,,,958.16,3273.28,3219.28,3,164,,,,,257,1208,2025,38.59,12.70,,,3.22,0.05,,
03/28/2016,EMS,2. Non-Life Threatening Med Emergencies,12985,3.66,74.39,,,81.29,135.51,212.92,737.75,651.36,3,76.5,,,10.5,46.5,95,442,538.5,8.75,2.11,0.79,0.14,1.18,0.06,,
03/28/2016,EMS,1. Life Threating Med Emergencies,9560,3.77,60.23,,,65.52,127.53,165.81,536.83,472.14,3,61.5,,,11,41.5,86,328,407,6.18,1.59,0.91,0.11,0.94,0.06,,
03/28/2016,FDNY,1. Structural Fires,291,3.53,81.93,,,,,94.10,283.65,276.61,3,63,,,,,9,186,268,3.16,0.20,,,1.31,0.06,,
03/28/2016,FDNY,4. Non-Medical Emergencies,3121,3.73,236.69,,,,,254.46,551.13,518.32,3,83,,,,,12,264,385,4.94,0.30,,,3.88,0.06,,
03/28/2016,FDNY,3. Medical Emergencies,3154,3.68,163.92,,,67.46,160.44,189.15,456.21,396.92,3,106,,,5,46,7,251,372,4.45,0.42,1.58,0.09,2.67,0.06,,
03/28/2016,FDNY,2. Non-Structural Fires,212,3.99,71.51,,,,,85.31,334.20,328.20,3,59.5,,,,,10,231.5,306,4.15,0.23,,,1.13,0.07,,
03/28/2016,NYPD,3. Non-Critical,897,3.54,158.25,,,,,446.40,1092.94,1086.17,3,133,,,,,128,385,734,10.78,4.80,,,2.58,0.06,,
03/28/2016,NYPD,2. Serious,1979,3.63,121.27,,,,,257.55,524.84,501.15,3,91,,,,,82,185,405,4.45,2.27,,,1.96,0.06,,
03/28/2016,NYPD,1. Critical,978,3.79,115.45,,,,,214.75,410.48,393.17,3,85,,,,,67,136,331,3.26,1.66,,,1.86,0.06,,
03/28/2016,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,430,3.59,124.16,,,,,252.71,1876.54,936.60,3,90,,,,,71,944,406,27.06,2.14,,,2.01,0.06,,
03/28/2016,NYPD (Non-CIP),Alarms,2943,3.83,126.56,,,,,790.74,2468.95,2468.28,3,107,,,,,277,858,1491,27.97,11.07,,,2.05,0.06,,
03/28/2016,NYPD (Non-CIP),Dispute,5433,3.52,168.14,,,,,864.83,2326.55,2312.77,3,143,,,,,229,675,1352,24.36,11.61,,,2.74,0.06,,
03/28/2016,NYPD (Non-CIP),Possible Crimes,6907,3.58,158.48,,,,,826.85,2531.89,2403.84,3,126,,,,,235,799,1357,28.42,11.14,,,2.58,0.06,,
03/28/2016,NYPD (Non-CIP),Vehicle Accident,3677,3.06,161.90,,,,,964.75,3560.53,3503.94,3,137,,,,,332,1555,2374,43.26,13.38,,,2.65,0.05,,
03/28/2016,NYPD (Non-CIP),Other Crimes (In Progress),2480,3.76,151.09,,,,,381.61,885.43,879.75,3,123,,,,,110,298,609,8.40,3.84,,,2.46,0.06,,
03/28/2016,NYPD (Non-CIP),Disorderly Person/Group/Noise,1203,3.75,159.77,,,,,719.65,1865.82,1857.08,3,135,,,,,199,534,1071,19.10,9.33,,,2.60,0.06,,
03/28/2016,NYPD (Non-CIP),Police Officer/Security Holding Suspect,237,3.74,102.91,,,,,401.88,1604.27,1603.48,3,78,,,,,115,635,1063,20.04,4.98,,,1.65,0.06,,
03/28/2016,NYPD (Non-CIP),Past Crime,3186,3.32,198.73,,,,,998.15,3440.71,3372.64,3,171,,,,,297,1319,2181.5,40.71,13.32,,,3.26,0.06,,
04/04/2016,EMS,1. Life Threating Med Emergencies,9317,3.32,60.43,,,65.35,124.08,160.13,537.11,475.01,3,60.5,,,10.5,41.5,84.5,323.5,412,6.28,1.51,0.88,0.11,0.95,0.06,,
04/04/2016,EMS,2. Non-Life Threatening Med Emergencies,12674,3.33,72.32,,,78.63,134.26,205.20,719.86,636.93,3,77,,,11,47,96,435.5,537,8.58,2.02,0.82,0.13,1.15,0.06,,
04/04/2016,FDNY,2. Non-Structural Fires,157,3.25,70.48,,,,,83.36,338.71,333.94,3,60,,,,,10,235,310,4.26,0.21,,,1.12,0.05,,
04/04/2016,FDNY,4. Non-Medical Emergencies,2682,3.30,203.50,,,,,220.89,510.67,459.13,3,76,,,,,11,262,371,4.83,0.29,,,3.34,0.05,,
04/04/2016,FDNY,3. Medical Emergencies,3130,3.36,173.96,,,67.41,170.23,198.23,472.42,409.12,3,109,,,5,48,7,256,380,4.57,0.40,1.75,0.09,2.84,0.06,,
04/04/2016,FDNY,1. Structural Fires,337,3.02,76.21,,,,,89.06,286.14,278.66,3,64,,,,,10,194,276,3.28,0.21,,,1.22,0.05,,
04/04/2016,NYPD,3. Non-Critical,835,3.27,147.21,,,,,402.91,917.78,912.52,3,122,,,,,121,332,631,8.58,4.26,,,2.40,0.05,,
04/04/2016,NYPD,1. Critical,909,3.28,113.00,,,,,212.61,398.59,384.76,3,90,,,,,68,130,331,3.10,1.66,,,1.83,0.05,,
04/04/2016,NYPD,2. Serious,1837,3.32,116.60,,,,,243.36,504.18,485.92,3,90,,,,,77,182,392,4.35,2.11,,,1.89,0.06,,
04/04/2016,NYPD (Non-CIP),Past Crime,3023,3.06,193.61,,,,,936.40,3285.43,3213.83,3,167,,,,,251,1250,2032,39.15,12.38,,,3.18,0.05,,
04/04/2016,NYPD (Non-CIP),Dispute,5193,3.29,167.56,,,,,808.10,2274.80,2265.33,3,142,,,,,203,675,1318,24.45,10.68,,,2.74,0.05,,
04/04/2016,NYPD (Non-CIP),Possible Crimes,6033,3.29,156.94,,,,,755.24,2380.65,2301.39,3,125,,,,,203,732,1272,27.09,9.97,,,2.56,0.05,,
04/04/2016,NYPD (Non-CIP),Police Officer/Security Holding Suspect,234,3.37,95.46,,,,,453.85,1629.68,1622.68,3,80.5,,,,,124.5,681,1037.5,19.60,5.97,,,1.53,0.06,,
04/04/2016,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,403,3.17,110.14,,,,,225.70,1672.66,762.09,3,84,,,,,52,885,371,24.12,1.93,,,1.78,0.05,,
04/04/2016,NYPD (Non-CIP),Disorderly Person/Group/Noise,1170,3.26,157.32,,,,,617.84,1739.99,1725.62,3,135,,,,,173,500,1019.5,18.70,7.68,,,2.57,0.05,,
04/04/2016,NYPD (Non-CIP),Vehicle Accident,3584,2.88,159.05,,,,,867.34,3348.19,3271.43,3,137,,,,,303.5,1496,2241.5,41.35,11.80,,,2.60,0.05,,
04/04/2016,NYPD (Non-CIP),Alarms,2307,3.32,123.16,,,,,675.48,2306.95,2305.83,3,104,,,,,247,832,1388,27.19,9.21,,,2.00,0.06,,
04/04/2016,NYPD (Non-CIP),Other Crimes (In Progress),2152,3.23,152.83,,,,,363.73,879.95,877.06,3,125,,,,,105,300.5,618,8.60,3.52,,,2.49,0.05,,
04/11/2016,EMS,2. Non-Life Threatening Med Emergencies,13089,3.56,74.03,,,79.96,133.68,198.62,731.97,642.67,3,78,,,10,46.5,95.5,455,537.25,8.89,1.92,0.80,0.13,1.18,0.06,,
04/11/2016,EMS,1. Life Threating Med Emergencies,9599,3.54,59.82,,,64.59,122.96,160.22,538.17,472.20,3,62,,,9.5,41,85.5,331,404.5,6.30,1.50,0.85,0.10,0.94,0.06,,
04/11/2016,FDNY,1. Structural Fires,331,3.27,75.55,,,,,88.26,287.58,282.89,3,62,,,,,10,193,274,3.32,0.21,,,1.20,0.05,,
04/11/2016,FDNY,4. Non-Medical Emergencies,2540,3.56,168.35,,,,,186.32,480.50,447.42,3,78,,,,,12,264,371,4.90,0.30,,,2.75,0.06,,
04/11/2016,FDNY,2. Non-Structural Fires,216,3.65,80.55,,,,,95.55,364.54,361.60,3,58.5,,,,,11,242.5,327,4.48,0.25,,,1.28,0.06,,
04/11/2016,FDNY,3. Medical Emergencies,3308,3.55,178.64,,,67.67,174.79,204.19,475.52,410.22,3,111,,,5,50,8,253,377,4.52,0.43,1.82,0.09,2.92,0.06,,
